CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/18/2016,14:45,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,Unspecified,,3425477,4 dr sedan,4 dr sedan,4 dr sedan,Station Wagon/Sport Utility Vehicle,
03/18/2016,15:50,BROOKLYN,11230,40.61449,-73.96324,"(40.61449, -73.96324)",,,1750      CONEY ISLAND AVENUE           ,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,,,,3415850,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
03/18/2016,14:00,BRONX,10455,40.810844,-73.926704,"(40.810844, -73.926704)",EAST 150 STREET                 ,MELROSE AVENUE,,2,0,0,0,0,0,2,0,Backing Unsafely,Unspecified,,,,3410927,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,0:00,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3412492,4 dr sedan,,,,
03/18/2016,1:29,QUEENS,11432,,,,160 STREET                      ,GOETHALS AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,3425030,4 dr sedan,,,,
03/18/2016,5:10,BROOKLYN,11211,40.71148,-73.9456,"(40.71148, -73.9456)",GRAND STREET                    ,MANHATTAN AVENUE,,1,0,1,0,0,0,0,0,Unspecified,,,,,3421267,Station Wagon/Sport Utility Vehicle,,,,
03/18/2016,16:52,,,40.77878,-73.7847,"(40.77878, -73.7847)",Clearview Expy                  ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3424936,4 dr sedan,4 dr sedan,,,
03/18/2016,16:35,,,,,,KINGS HIGHWAY                   ,EAST 32 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3415503,Bus,Box Truck,,,
03/18/2016,18:45,QUEENS,11361,,,,45 DRIVE                        ,BELL BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3427298,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,22:23,MANHATTAN,10014,,,,WEST HOUSTON STREET             ,HUDSON STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3405908,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
03/18/2016,11:05,MANHATTAN,10009,40.72494,-73.97825,"(40.72494, -73.97825)",,,133       AVENUE C                      ,0,0,0,0,0,0,0,0,Unspecified,,,,,3406316,4 dr sedan,,,,
03/18/2016,1:02,BRONX,10458,,,,CYRUS PLACE                     ,PARK AVENUE,,0,0,0,0,0,0,0,0,Unspecified,,,,,4022016,4 dr sedan,,,,
